trip_id,date,date_time,day,driver,car_type,city,price,price_round,start_time,start_address,end_time,end_address,distance in km,duration in minutes
d2a743f3-5bed-4dae-988d-77e3885c347e,07/29/17,"Saturday, July 29, 2017 6:06 PM",Saturday,Dhananjaiah,uberGO,Bangalore,420.31,420.3,6:06 PM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",8:27 PM,"Elita Promenade, Phase 7, JP Nagar, Bengaluru, Karnataka 560078, India",21.6,141
1090fc40-6ba3-4c74-a7c8-8a9314c05e98,07/29/17,"Saturday, July 29, 2017 2:16 PM",Saturday,Dilipkumar reddy,uberGO,Bangalore,113.15,113.2,2:16 PM,Entry / Exit Dr Rajkumar Road Orion Mall,2:38 PM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",5.8,22
361b1fcb-bc94-4820-aa18-28cc86add086,07/29/17,"Saturday, July 29, 2017 11:40 AM",Saturday,Manjappa,uberGO,Bangalore,85.18,85.2,11:40 AM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",11:55 AM,"Brigade Gateway, 26/1 Dr. Rajkumar Road, Malleshwaram West, Bengaluru, Karnataka 560055, India",4.3,15
a28380f0-524f-4010-afaa-2d4a6bba6a6c,07/23/17,"Sunday, July 23, 2017 6:07 PM",Sunday,mufees,uberGO,Bangalore,109.89,109.9,6:07 PM,Entry / Exit Dr Rajkumar Road Orion Mall,6:28 PM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",5.8,21
ee42478a-7b06-482b-a946-036fb93464b1,07/23/17,"Sunday, July 23, 2017 4:01 PM",Sunday,Manjunatha,uberGO,Bangalore,82.99,83,4:01 PM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",4:19 PM,"Brigade Gateway, 26/1 Dr. Rajkumar Road, Malleshwaram West, Bengaluru, Karnataka 560055, India",4.3,19
73215f7f-e631-4852-8396-13ee1590c01e,07/08/17,"Saturday, July 8, 2017 10:44 AM",Saturday,Jaya,uberGO,Bangalore,632.55,632.6,10:44 AM,Uber Zone (Behind Cafe Coffee Day) Kempegowda International Airport,11:53 AM,"Platinum City, Industrial Area,Stage 1, Peenya, Bengaluru, Karnataka 560022, India",35.3,69
d2a6f96a-a4fe-48dc-84ab-b30654c67e48,05/24/17,"Wednesday, May 24, 2017 1:05 PM",Wednesday,Vikas,uberGO,Delhi NCR,246.01,246,1:05 PM,"Nift Campus, Main Road, Hauz Khas, Hauz Khas, New Delhi, Delhi 110016, India",1:49 PM,"131, Ground Floor, Patparganj Industrial Area, New Delhi, Patparganj Industrial Area, Patparganj, New Delhi, Delhi 110092, India",20.5,44
a2fb5f96-f10e-4c0a-8b3e-2875e581bc8c,04/08/17,"Saturday, April 8, 2017 12:21 AM",Saturday,Niranjan,uberGO,Delhi NCR,690.58,690.6,12:21 AM,"Terminal 1, Arrivals Car Pickup Zone Indira Gandhi International Airport",1:19 AM,"Sector 36, Noida, Uttar Pradesh 201303, India",27.7,59
26d756f4-c2d8-43ba-b000-359867f0c8e3,04/07/17,"Friday, April 7, 2017 6:23 PM",Friday,Srinivas,uberGO,Bangalore,560.07,560.1,6:23 PM,"Vidyaranyapura Rd, Bengaluru, Karnataka 560013, India",7:08 PM,"Devanahalli, Bengaluru, Karnataka 560300, India",29,45
637e408d-6c23-4177-b1f2-9adfe35ac053,04/06/17,"Thursday, April 6, 2017 3:42 PM",Thursday,Nagraju,uberGO,Bangalore,317.32,317.3,3:42 PM,Forum Mall Koramangala Side Forum Mall,4:45 PM,"Vidyaranyapura Rd, Bengaluru, Karnataka 560013, India",18.8,63
